         7361825 function calls (6445562 primitive calls) in 2.191 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4956    0.002    0.000    0.003    0.000 typing.py:1278(__eq__)
  653/203    0.002    0.000    0.003    0.000 generics.py:344(iter_contained_typevars)
     5032    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
1577/1573    0.001    0.000    0.004    0.000 typing.py:976(__getattr__)
   137/31    0.001    0.000    0.004    0.000 sre_parse.py:494(_parse)
     2557    0.001    0.000    0.002    0.000 typing.py:1154(__subclasscheck__)
      200    0.001    0.000    0.003    0.000 generics.py:117(<dictcomp>)
     2969    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      257    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     2969    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     4974    0.001    0.000    0.002    0.000 typing.py:137(_type_convert)
3077/2461    0.001    0.000    0.002    0.000 typing.py:329(<genexpr>)
     4876    0.001    0.000    0.002    0.000 typing.py:1031(__eq__)
     3735    0.001    0.000    0.001    0.000 _base.py:213(__get_validators__)
     2137    0.001    0.000    0.003    0.000 typing.py:993(__instancecheck__)
      201    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      571    0.001    0.000    0.002    0.000 types.py:100(prepare_class)
      402    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      200    0.001    0.000    0.004    0.000 __init__.py:994(__iter__)
      291    0.001    0.000    0.006    0.000 typing.py:532(Literal)
      201    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      240    0.001    0.000    0.005    0.000 typing.py:1323(__class_getitem__)
     2042    0.001    0.000    0.001    0.000 typing_extensions.py:170(_should_collect_from_parameters)
   269/29    0.001    0.000    0.002    0.000 sre_compile.py:87(_compile)
     1952    0.001    0.000    0.001    0.000 typing.py:371(__getattr__)
   265/14    0.001    0.000    2.030    0.145 <frozen importlib._bootstrap>:1022(_find_and_load)
      250    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      200    0.001    0.000    0.001    0.000 generics.py:119(<dictcomp>)
      698    0.001    0.000    0.001    0.000 weakref.py:195(get)
   234/15    0.001    0.000    2.029    0.135 <frozen importlib._bootstrap>:664(_load_unlocked)
      571    0.001    0.000    0.001    0.000 types.py:79(resolve_bases)
      234    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
   265/14    0.001    0.000    2.030    0.145 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     3123    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       25    0.001    0.000    3.491    0.140 __init__.py:1(<module>)
      835    0.001    0.000    0.004    0.000 typing.py:947(__init__)
     5113    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      275    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     3977    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       15    0.001    0.000    2.530    0.169 response_schemas.py:1(<module>)
       26    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      200    0.000    0.000    0.001    0.000 generics.py:182(<listcomp>)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      419    0.000    0.000    0.007    0.000 typing.py:407(__getitem__)
  204/200    0.000    0.000    0.027    0.000 generics.py:186(__parameterized_bases__)
      201    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      275    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     1105    0.000    0.000    0.000    0.000 typing.py:1272(_value_and_type_iter)
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      201    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    205/1    0.000    0.000    2.192    2.192 {built-in method builtins.exec}
      427    0.000    0.000    0.000    0.000 typing.py:1096(__reduce__)
      402    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     1388    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
      399    0.000    0.000    0.001    0.000 typing.py:1267(__reduce__)
     1815    0.000    0.000    0.001    0.000 sre_parse.py:165(__getitem__)
      292    0.000    0.000    0.001    0.000 weakref.py:165(__setitem__)
      349    0.000    0.000    0.001    0.000 typing.py:1107(__mro_entries__)
     6340    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2258    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
     1129    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      370    0.000    0.000    0.001    0.000 _case.py:4(snake_case_to_pascal_case)
  339/102    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
     2320    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      413    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
      122    0.000    0.000    0.004    0.000 typing.py:483(Union)
   201/15    0.000    0.000    2.028    0.135 <frozen importlib._bootstrap_external>:877(exec_module)
      122    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
      201    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      603    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  234/233    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      111    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
      571    0.000    0.000    0.000    0.000 types.py:132(_calculate_meta)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1644    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1004    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
     1014    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      345    0.000    0.000    0.000    0.000 dataclasses.py:1210(is_dataclass)
      200    0.000    0.000    0.000    0.000 generics.py:359(get_caller_frame_info)
      370    0.000    0.000    0.000    0.000 _case.py:5(<listcomp>)
     1110    0.000    0.000    0.000    0.000 operation.py:16(get_name)
      617    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      291    0.000    0.000    0.000    0.000 typing.py:284(_flatten_literal_params)
      437    0.000    0.000    0.001    0.000 {built-in method _operator.getitem}
        7    0.000    0.000    0.001    0.000 enum.py:180(__new__)
     1592    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
     1713    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      200    0.000    0.000    0.001    0.000 generics.py:170(__concrete_name__)
  637/498    0.000    0.000    0.038    0.000 generics.py:278(<genexpr>)
     1014    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
   127/29    0.000    0.000    0.004    0.000 sre_parse.py:436(_parse_sub)
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      227    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      428    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      265    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      414    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      334    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  488/447    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      422    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      804    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      292    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
      200    0.000    0.000    0.000    0.000 weakref.py:428(__setitem__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      900    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
      887    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
      250    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      165    0.000    0.000    0.000    0.000 copyreg.py:39(pickle_union)
      744    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
